iter	RMSE
0	79215.94994
1	79014.45145
2	78808.75851
3	78606.24011
4	78415.14556
5	78212.45335
6	78001.97077
7	77813.69151
8	77615.6936
9	77410.81363
10	77203.89644
11	77001.69075
12	76811.07832
13	76605.10854
14	76408.22031
15	76211.63207
16	76007.03849
17	75814.66218
18	75639.87679
19	75442.92942
20	75256.65592
21	75069.16722
22	74875.83974
23	74689.05295
24	74491.12528
25	74298.96676
26	74106.68485
27	73920.15676
28	73737.17085
29	73557.14422
30	73381.30742
31	73200.85488
32	73013.98379
33	72829.96516
34	72658.2383
35	72475.27631
36	72291.83891
37	72110.03183
38	71941.19098
39	71767.11875
40	71592.25897
41	71407.07009
42	71233.27439
43	71062.93031
44	70885.50517
45	70704.0273
46	70522.87326
47	70337.64521
48	70162.9892
49	69983.11963
50	69813.76263
51	69642.76247
52	69462.94124
53	69296.09369
54	69127.99505
55	68959.4749
56	68797.07611
57	68630.41013
58	68453.54539
59	68276.91579
60	68103.03116
61	67931.96584
62	67758.68781
63	67594.08885
64	67440.02535
65	67271.49685
66	67106.67907
67	66937.65474
68	66768.99129
69	66610.54703
70	66450.79709
71	66302.62923
72	66135.52396
73	65972.49731
74	65803.38013
75	65643.22271
76	65485.81424
77	65327.43798
78	65162.93948
79	65004.67681
80	64852.13745
81	64696.75647
82	64540.39993
83	64383.66048
84	64224.44722
85	64070.34516
86	63918.68467
87	63758.60515
88	63609.28134
89	63456.57824
90	63304.43125
91	63154.83426
92	63003.41286
93	62853.48201
94	62701.59883
95	62562.03549
96	62408.51775
97	62256.88187
98	62106.87305
99	61955.43454
100	61813.48666
101	61668.55657
102	61530.51413
103	61384.29614
104	61238.02365
105	61099.62445
106	60952.48902
107	60813.25836
108	60668.54219
109	60526.20943
110	60390.60325
111	60252.9625
112	60111.65519
113	59972.54908
114	59828.73523
115	59697.04958
116	59553.6434
117	59401.40338
118	59267.73782
119	59124.54588
120	58990.45981
121	58849.41105
122	58713.88993
123	58582.95582
124	58446.21766
125	58303.46054
126	58180.14626
127	58053.07854
128	57917.27938
129	57781.36101
130	57652.32482
131	57524.02436
132	57396.43169
133	57266.65779
134	57141.98031
135	57009.03494
136	56879.92701
137	56749.41769
138	56614.35146
139	56474.90719
140	56344.92464
141	56217.97116
142	56096.81163
143	55969.57639
144	55840.9517
145	55725.03771
146	55608.54383
147	55493.80357
148	55380.00953
149	55260.93867
150	55134.73742
151	55005.00792
152	54875.59839
153	54750.29508
154	54636.69823
155	54515.58936
156	54395.06013
157	54275.88638
158	54156.32526
159	54039.56673
160	53919.12563
161	53797.08088
162	53678.06832
163	53556.40607
164	53444.95187
165	53325.88049
166	53198.7142
167	53071.42225
168	52943.33031
169	52825.46573
