iter	Passed	Remaining
0	112	2248361
1	172	1721647
2	234	1564520
3	293	1469072
4	364	1457769
5	425	1419419
6	491	1402404
7	557	1393517
8	637	1414960
9	710	1419773
10	777	1413337
11	841	1401878
12	903	1389835
13	971	1386804
14	1035	1379411
15	1117	1395239
16	1214	1427667
17	1280	1422003
18	1353	1423000
19	1415	1414046
20	1482	1410574
21	1548	1405844
22	1615	1403047
23	1680	1398778
24	1745	1394516
25	1807	1388592
26	1872	1385063
27	1936	1381142
28	1998	1376620
29	2059	1370870
30	2119	1365374
31	2182	1362066
32	2263	1369270
33	2327	1366873
34	2395	1366260
35	2463	1366064
36	2529	1364972
37	2590	1360973
38	2651	1357289
39	2709	1352101
40	2770	1348838
41	2835	1347332
42	2900	1346224
43	2960	1342663
44	3021	1340023
45	3085	1338235
46	3151	1337995
47	3214	1336321
48	3280	1335764
49	3339	1332650
50	3400	1329963
51	3431	1316467
52	3491	1313944
53	3546	1309895
54	3602	1306245
55	3662	1304248
56	3722	1302439
57	3777	1298781
58	3834	1296083
59	3894	1294321
60	3949	1290939
61	4006	1288367
62	4064	1286127
63	4123	1284387
64	4179	1281801
65	4235	1279234
66	4293	1277367
67	4348	1274742
68	4407	1273046
69	4464	1271128
70	4522	1269456
71	4578	1267322
72	4639	1266383
73	4702	1266167
74	4766	1266421
75	4832	1266768
76	4895	1266789
77	4957	1266274
78	5027	1267803
79	5095	1268879
80	5166	1270495
81	5226	1269511
82	5287	1268892
83	5342	1266715
84	5397	1264487
85	5454	1263089
86	5520	1263539
87	5588	1264489
88	5648	1263788
89	5708	1262820
90	5769	1262334
91	5829	1261521
92	5886	1260060
93	5944	1258905
94	6004	1258198
95	6061	1256760
96	6120	1255737
97	6180	1255079
98	6242	1254965
99	6302	1254124
100	6361	1253378
101	6427	1253770
102	6488	1253503
103	6548	1252866
104	6605	1251568
105	6662	1250327
106	6718	1249058
107	6774	1247714
108	6832	1246835
109	6889	1245691
110	6948	1244967
111	7006	1244187
112	7065	1243470
113	7121	1242258
114	7181	1241782
115	7240	1241057
116	7296	1239924
117	7352	1238865
118	7415	1238821
119	7478	1238877
120	7536	1238159
121	7593	1237217
122	7657	1237464
123	7714	1236592
124	7773	1236018
125	7833	1235571
126	7893	1235169
127	7948	1234057
128	8011	1234041
129	8073	1233987
130	8138	1234446
131	8202	1234663
132	8261	1234126
133	8324	1234071
134	8386	1234072
135	8453	1234755
136	8514	1234472
137	8577	1234474
138	8640	1234638
139	8699	1234033
140	8758	1233548
141	8819	1233411
142	8881	1233280
143	8938	1232523
144	8996	1231915
145	9056	1231528
146	9122	1231986
147	9178	1231169
148	9242	1231306
149	9306	1231537
150	9376	1232605
151	9451	1234158
152	9518	1234775
153	9585	1235235
154	9648	1235344
155	9707	1234825
156	9767	1234458
157	9824	1233809
158	9882	1233238
159	9945	1233187
160	10007	1233126
161	10068	1232942
162	10130	1232927
163	10195	1233203
164	10257	1233115
165	10324	1233597
166	10389	1233885
167	10474	1236447
168	10541	1236921
169	10603	1236873
170	10662	1236405
171	10726	1236584
172	10787	1236351
173	10847	1235978
174	10910	1236017
175	10970	1235670
176	11034	1235820
177	11098	1235871
178	11157	1235516
179	11222	1235679
180	11284	1235597
181	11340	1234857
182	11397	1234268
183	11460	1234197
184	11521	1234062
185	11577	1233301
186	11635	1232841
187	11690	1232018
188	11750	1231728
189	11806	1231005
190	11865	1230643
191	11921	1229898
192	11983	1229788
193	12041	1229344
194	12099	1228909
195	12155	1228183
196	12215	1227984
197	12272	1227414
198	12329	1226836
199	12401	1227726
200	12476	1228981
201	12545	1229569
202	12611	1229873
203	12673	1229782
204	12736	1229856
205	12795	1229448
206	12853	1229000
207	12908	1228301
208	12965	1227756
209	13023	1227346
210	13078	1226619
211	13134	1225975
212	13196	1225918
213	13252	1225284
214	13308	1224654
215	13366	1224264
216	13428	1224215
217	13490	1224198
218	13549	1223807
219	13607	1223416
220	13665	1223071
221	13727	1222971
222	13797	1223647
223	13854	1223194
224	13912	1222745
225	13970	1222358
226	14031	1222225
227	14090	1221911
228	14150	1221686
229	14205	1221048
230	14260	1220379
231	14316	1219830
232	14374	1219506
233	14437	1219531
234	14501	1219691
235	14567	1219961
236	14632	1220157
237	14694	1220144
238	14754	1219916
239	14816	1219868
240	14880	1220046
241	14940	1219789
242	15001	1219683
243	15059	1219354
244	15120	1219228
245	15180	1219040
246	15241	1218858
247	15297	1218358
248	15360	1218409
249	15419	1218175
250	15482	1218198
251	15543	1218078
252	15605	1218039
253	15667	1217986
254	15726	1217744
255	15791	1217889
256	15852	1217776
257	15909	1217409
258	15966	1217003
259	16027	1216855
260	16094	1217178
261	16153	1216936
262	16216	1216999
263	16278	1216941
264	16342	1217035
265	16401	1216772
266	16462	1216667
267	16517	1216100
268	16575	1215787
269	16634	1215584
270	16690	1215107
271	16746	1214628
272	16803	1214242
273	16858	1213702
274	16915	1213328
275	16974	1213031
276	17032	1212730
277	17090	1212452
278	17149	1212179
279	17206	1211857
280	17276	1212395
281	17344	1212766
282	17408	1212849
283	17472	1212991
284	17533	1212919
285	17592	1212683
286	17655	1212666
287	17722	1213009
288	17791	1213475
289	17851	1213256
290	17911	1213145
291	17972	1213039
292	18036	1213131
293	18094	1212848
294	18151	1212457
295	18212	1212338
296	18272	1212208
297	18331	1211954
298	18392	1211887
299	18465	1212590
300	18545	1213716
301	18612	1213988
302	18674	1213957
303	18740	1214157
304	18805	1214331
305	18868	1214398
306	18930	1214339
307	18993	1214352
308	19061	1214683
309	19122	1214583
310	19184	1214576
311	19247	1214553
312	19308	1214490
313	19371	1214485
314	19433	1214450
315	19498	1214600
316	19560	1214544
317	19623	1214536
318	19684	1214466
319	19745	1214362
320	19807	1214301
321	19872	1214454
322	19937	1214582
323	19998	1214485
324	20056	1214214
325	20113	1213817
326	20168	1213362
327	20222	1212845
328	20282	1212712
329	20338	1212312
330	20393	1211862
331	20461	1212173
332	20519	1211888
333	20574	1211412
334	20629	1210963
335	20687	1210695
336	20744	1210407
337	20800	1210004
338	20855	1209585
339	20912	1209223
340	20973	1209147
341	21033	1208990
342	21088	1208563
343	21146	1208292
344	21203	1207984
345	21259	1207614
346	21314	1207171
347	21373	1206961
348	21437	1207095
349	21502	1207238
350	21559	1206919
351	21614	1206502
352	21675	1206389
353	21733	1206169
354	21789	1205786
355	21844	1205389
356	21905	1205273
357	21963	1205030
358	22018	1204657
359	22078	1204509
360	22135	1204230
361	22191	1203880
362	22246	1203478
363	22305	1203290
364	22363	1203032
365	22421	1202793
366	22479	1202580
367	22534	1202170
368	22592	1201932
369	22648	1201573
370	22703	1201179
371	22758	1200805
372	22816	1200577
373	22873	1200282
374	22928	1199908
375	22955	1198090
376	23012	1197787
377	23072	1197685
378	23127	1197341
379	23182	1196971
380	23240	1196740
381	23297	1196487
382	23354	1196182
383	23414	1196068
384	23475	1196023
385	23535	1195931
386	23591	1195596
387	23646	1195232
388	23701	1194865
389	23760	1194748
390	23817	1194448
391	23875	1194249
392	23929	1193870
393	23987	1193649
394	24047	1193556
395	24105	1193344
396	24162	1193116
